feature,family,split,coverage,days,pairs,ic,ic_std,icir,positive_ic_ratio,rank_ic,rank_ic_std,rank_icir,positive_rank_ic_ratio
RESI20,trend_reversal,basis_fit,0.9316530054644808,233,56877,-0.03301804031933617,0.2079699735147846,-0.15876349725547717,0.3905579399141631,-0.040153462026174,0.22601024474392406,-0.17766213240319703,0.38626609442060084
RESI30,trend_reversal,basis_fit,0.9319398907103825,233,56888,-0.0016738101021882903,0.21168140996127505,-0.007907213498315685,0.44635193133047213,-0.012348373826332911,0.22768624852823183,-0.05423416612181469,0.4291845493562232
RESI60,trend_reversal,basis_fit,0.9321857923497268,233,56895,-0.03967920204611246,0.22729330275384238,-0.17457268456820682,0.463519313304721,-0.04804321645820709,0.2298500852102998,-0.20901978963484077,0.4248927038626609
MAX5,price_position,basis_fit,0.9325136612021858,233,56900,0.019069119780749624,0.19741801045876875,0.09659260437503121,0.5021459227467812,0.026020400474699938,0.21185883698094093,0.122819519098185,0.5450643776824035
MAX10,price_position,basis_fit,0.9325136612021858,233,56900,0.01955689335094469,0.19811383337314545,0.0987154355552218,0.4892703862660944,0.026047961441135758,0.21476852144517217,0.12128388865304682,0.5064377682403434
MAX20,price_position,basis_fit,0.9325136612021858,233,56900,0.017014779924620905,0.2144488348522151,0.07934190892828324,0.5064377682403434,0.024416913444350506,0.23230081671173278,0.10510902970543574,0.4978540772532189
MAX30,price_position,basis_fit,0.9325136612021858,233,56900,0.04071137258798687,0.24411527445352943,0.16677109893726383,0.5107296137339056,0.0493282889660565,0.2612143152658163,0.18884221148392713,0.5278969957081545
MAX60,price_position,basis_fit,0.9325136612021858,233,56900,0.0421728419122905,0.24955192564148998,0.16899425561987702,0.5450643776824035,0.044948214682018955,0.2712787356825606,0.16569015101358897,0.5364806866952789
MIN5,price_position,basis_fit,0.9325136612021858,233,56900,0.05594203215236669,0.20234966265591084,0.2764621962700987,0.6266094420600858,0.07527909051788241,0.20920388007397253,0.3598360149499351,0.6652360515021459
MIN10,price_position,basis_fit,0.9325136612021858,233,56900,0.050951788630674365,0.1992107026259253,0.25576832950763106,0.6137339055793991,0.0726922784625205,0.2013110847024563,0.3610942664680478,0.6609442060085837
MIN20,price_position,basis_fit,0.9325136612021858,233,56900,0.04763049046346879,0.2012478930677822,0.23667572235117207,0.5708154506437768,0.07295106936212264,0.20229284825155902,0.36062109952302984,0.6351931330472103
MIN30,price_position,basis_fit,0.9325136612021858,233,56900,0.07027356304959562,0.20527990929299025,0.342330446713595,0.592274678111588,0.09365051912383696,0.20569215186999878,0.45529456652787514,0.6695278969957081
MIN60,price_position,basis_fit,0.9325136612021858,233,56900,0.07869109236137922,0.2044031810131286,0.38497978344243566,0.6351931330472103,0.10731494976919503,0.21189182167580428,0.5064610277096373,0.6824034334763949
QTLU5,price_position,basis_fit,0.9325136612021858,233,56900,0.0429813849635315,0.19508462689331724,0.22032174266112745,0.6008583690987125,0.05798675385287256,0.20696596945713847,0.28017530613834224,0.648068669527897
QTLU10,price_position,basis_fit,0.9325136612021858,233,56900,0.0409158924773705,0.19123907550196742,0.21395152831592498,0.575107296137339,0.05532444263828394,0.20215048303574296,0.2736794976072445,0.5836909871244635
QTLU20,price_position,basis_fit,0.9325136612021858,233,56900,0.05406735978869514,0.21635049875155063,0.2499063330137464,0.6137339055793991,0.06689959401081325,0.22721894378927154,0.294427889220617,0.630901287553648
QTLU30,price_position,basis_fit,0.9325136612021858,233,56900,0.07065395706617235,0.2324767011003819,0.3039184431461131,0.6051502145922747,0.085629426838833,0.2398542100785495,0.35700614473596415,0.6137339055793991
QTLU60,price_position,basis_fit,0.9325136612021858,233,56900,0.09057732206607541,0.23966923535852794,0.3779263614313212,0.6180257510729614,0.10745203394048397,0.24761509972279197,0.4339478249136575,0.648068669527897
QTLD5,price_position,basis_fit,0.9325136612021858,233,56900,0.04990990679671458,0.1949166277252799,0.2560577174927261,0.6437768240343348,0.06235991778372582,0.20349830354806533,0.3064394970201641,0.6566523605150214
